,count_x,sending_count,receiving_count,active_count,new_non_zero_count,difficulty_mean,difficulty_latest,hash_rate_mean,count_y,rate,size_mean,size_sum,transfers_volume_sum,transfers_volume_mean,transfers_volume_median,volume_sum,volume_mean,volume_median,difficulty_ribbon,sopr,stock_to_flow_ratio,pi_cycle_top,utxo_count,utxo_created_count,utxo_spent_count,utxo_created_value_sum,utxo_spent_value_sum,utxo_created_value_mean,utxo_spent_value_mean,utxo_created_value_median,utxo_spent_value_median,block_height,block_count,block_interval_mean,block_interval_median,block_size_mean,block_size_sum,current,active_more_1y_percent,price_drawdown_relative
2011-09-04,1965658,9978,14801,17225,9990,7635483259859630,7635483259859630,11778676760734.4,7124,0.08245370370370371,750.330151600223,5345352,1738588.54059555,244.04667891571398,10.9975,9.87229329,0.0013857795185289196,0.0,4871594592575657.0,0.997419812938784,1.3300376422158091,13.00232839692357,988008,88145,12803,1745298.41288884,1738598.41288884,19.800310997661107,135.796173778711,1e-08,1.0,143972,134,648.246268656716,547,40163.1268656716,5381859,7198650.0,0.2944503594424939,-0.7435706483575559
2011-09-05,1975612,9966,14950,17841,9954,7635483259859630,7635483259859630,13885448032105.5,6883,0.07966435185185185,442.02121168095397,3042432,2265739.36234177,329.17904436172597,18.6069639,7.1708289,0.00104181736161557,0.0,4927566886513317.0,0.9954126735121652,1.3362828635905497,13.003819843849904,992688,17988,13308,2273546.53317067,2265746.53317067,126.39240233326001,170.254473487426,0.61,1.62,144128,156,549.891025641026,408,19832.1602564103,3093817,7206450.0,0.294327692553297,-0.7607994675320258
2011-09-06,1985614,11541,15263,18377,10002,7635483259859630,7635483259859630,13184196366367.1,7679,0.08887731481481481,449.54421148587005,3452050,3148001.51669684,409.949409649284,24.9595,6.52405064,0.000849596384945957,0.0,4983539180450977.0,0.9922502105116509,1.3422319084629082,13.000352757328038,994987,17884,15585,3155558.04074748,3148008.04074748,176.44587568483,201.989608004329,1.01668732,1.5895,144279,151,579.1390728476821,391,23172.1721854305,3498998,7213950.0,0.293892060521726,-0.7847699920660167
2011-09-07,1994396,9929,13668,16392,8782,7635483259859630,7635483259859630,11705451549839.5,6954,0.0804861111111111,429.87345412712097,2989340,629363.21701875,90.5037700630928,15.01719622,8.13899549,0.00117040487345413,0.0,5039511474388637.0,0.9803232384765048,1.3488246439131517,13.000491865474524,998190,16516,13313,636171.35601424,629371.35601424,38.518488496866,47.2749459937084,1.0,1.52906,144415,136,652.301470588235,442,22320.4558823529,3035582,7220800.0,0.29379603783524105,-0.7746930187352356
2011-09-08,2002398,9203,12588,15365,8002,7635483259859630,7635483259859630,11312736487824.4,6368,0.0737037037037037,436.651067839196,2780594,388415.87991039,60.9949560160789,15.54416706,4.66847138,0.000733114224246231,0.0,5095483768326296.0,0.945698800716302,1.3560197532845781,13.002944601044804,1001306,15496,12380,394870.54838177,388420.54838177,25.482095275023894,31.3748423571705,0.95,1.227715,144544,129,674.945736434109,431,21924.465116279098,2828256,7227250.0,0.294078217856143,-0.7951653124871119
2011-09-09,2011121,11529,13996,18315,8723,7635483259859630,7635483259859630,13616476238111.8,7222,0.08358796296296296,537.289808917198,3880307,400461.10223516,55.450166468452,19.867,7.67312696,0.0010624656549432301,0.0,5151456062263955.0,0.935038219709003,1.360341204587853,12.999914919158403,1000743,17509,18072,408168.77536212,400468.77536212,23.3119410224525,22.1596267907327,1.0,1.06,144698,154,560.753246753247,391,25458.883116883106,3920668,7234950.0,0.294110423707255,-0.8414910743291788
2011-09-10,2018416,9786,11869,15532,7295,7635483259859630,7635483259859630,11812346879312.0,5860,0.06782407407407408,488.096757679181,2860247,265157.88841232,45.2487864184849,17.22784416,5.36476482,0.0009154888771331061,0.0,5207428356201615.0,0.947360226179596,1.3682939925615394,12.988151224370995,1002845,14992,12890,271813.25317714,265163.25317714,18.130553173501895,20.5712376398091,0.97852031,1.0,144831,133,646.3984962406021,491,21831.6466165414,2903609,7241600.0,0.29434549547072497,-0.8506223357263911
2011-09-11,2026573,9239,12479,15078,8157,7635483259859630,7635483259859630,11042616247251.6,6318,0.073125,458.285849952518,2895450,1013599.3571405,160.430414235597,14.999,5.09702161,0.000806746060462172,0.0,5263400650139275.0,0.765702087550539,1.3753610954380466,12.973205854304329,1004294,14552,13103,1019854.45416211,1013604.45416211,70.0834561683693,77.35667054583779,1.0,1.03127462,144956,125,691.456,430,23454.184,2931773,7247850.0,0.294534888277324,-0.8145697785744186
2011-09-12,2034765,9847,13124,16221,8192,7635483259859630,7635483259859630,11504953930771.4,6442,0.07456018518518519,473.112387457312,3047790,620821.77978541,96.37096860996759,15.95,5.37417472,0.000834240099348029,0.0,5319372944076934.0,0.972658229432638,1.3833952052540222,12.964641632909824,1006047,15552,13799,627477.15396013,620827.15396013,40.3470392206873,44.9907351228445,1.0,1.2961,145089,133,663.669172932331,492,23229.7518796992,3089557,7254500.0,0.294451284030713,-0.8099542611030084
2011-09-13,2042764,8962,12386,14664,7999,7581404995928630,7539494341382100,12256254256002.2,6377,0.07380787037037037,417.765093304061,2664088,351439.45439488,55.110467993551595,17.999000000000006,4.15771892,0.0006519866583032768,0.0,5374595324588988.0,0.9311131658988342,1.3907409474162746,12.951004337713805,1008860,14598,11785,358543.6121138,351443.6121138,24.5611461922044,29.8212653469497,1.00307809,1.48,145231,142,618.204225352113,402,19008.7746478873,2699246,7261600.0,0.294523318552496,-0.8181510788295778
2011-09-14,2050191,8564,12014,14442,7427,7539494341382100,7539494341382100,12906308830468.0,6054,0.07006944444444445,427.324578790882,2587023,295315.2438276,48.780185633894995,21.295,3.78071682,0.0006244989791873138,0.0,5428215606179688.0,0.968853383133627,1.4002769118662803,12.925216669137162,1011950,14563,11473,302619.02454442,295319.02454442,20.7799920719921,25.7403490407409,1.0,1.62,145377,146,584.171232876712,438,18007.034246575302,2629027,7268900.0,0.29453811030565896,-0.8238089840280854
