,outliers_cutoff,pca_n,top_features_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2,tier
422,3.0,na,20,1336,0.97,10432,0.86,Tier 1
423,3.0,na,30,1361,0.98,9338,0.88,Tier 1
424,3.0,na,40,1349,0.98,31297,0.51,Tier 1
425,3.5,na,10,1781,0.96,8678,0.9,Tier 1
426,3.5,na,15,1563,0.97,6821,0.92,Tier 1
427,3.5,na,20,1520,0.97,7193,0.91,Tier 1
428,3.5,na,30,1648,0.97,8192,0.92,Tier 1
429,3.5,na,40,1588,0.97,70763,0.5,Tier 1
430,1.0,na,10,880,0.94,26690,0.88,Tier 1_2
431,1.0,na,15,543,0.98,41353,0.89,Tier 1_2
432,1.0,na,20,3409,0.98,12871,0.65,Tier 1_2
433,1.0,na,30,0,1.0,13485,0.2,Tier 1_2
434,1.5,na,10,985,0.94,15483,0.88,Tier 1_2
435,1.5,na,15,607,0.97,16221,0.9,Tier 1_2
436,1.5,na,20,484,0.98,20862,0.88,Tier 1_2
437,1.5,na,30,357,0.99,16914,0.89,Tier 1_2
438,1.5,na,40,825,0.99,24780,0.9,Tier 1_2
439,2.0,na,10,1101,0.97,8781,0.92,Tier 1_2
440,2.0,na,15,739,0.97,12028,0.88,Tier 1_2
441,2.0,na,20,624,0.98,7007,0.91,Tier 1_2
442,2.0,na,30,357,0.99,13507,0.9,Tier 1_2
443,2.0,na,40,316,0.99,10915,0.89,Tier 1_2
444,2.5,na,10,1158,0.98,8783,0.9,Tier 1_2
445,2.5,na,15,938,0.98,9669,0.89,Tier 1_2
446,2.5,na,20,863,0.99,7979,0.91,Tier 1_2
447,2.5,na,30,805,0.99,5813,0.93,Tier 1_2
448,2.5,na,40,630,0.99,6654,0.92,Tier 1_2
449,3.0,na,10,1550,0.97,5672,0.93,Tier 1_2
450,3.0,na,15,990,0.99,9858,0.9,Tier 1_2
451,3.0,na,20,898,0.99,9894,0.91,Tier 1_2
452,3.0,na,30,832,0.99,6679,0.94,Tier 1_2
453,3.0,na,40,704,0.99,7494,0.92,Tier 1_2
454,3.5,na,10,2209,0.95,2549,0.97,Tier 1_2
455,3.5,na,15,1031,0.99,8423,0.92,Tier 1_2
456,3.5,na,20,881,0.99,7010,0.91,Tier 1_2
457,3.5,na,30,834,0.99,4861,0.95,Tier 1_2
458,3.5,na,40,756,0.99,4556,0.96,Tier 1_2
