,outliers_cutoff,pca_n,top_features_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2,tier
87,2.0,10.0,40,1250,0.9,16936,0.14,Tier 1
88,2.0,12.0,15,890,0.95,10803,0.53,Tier 1
89,2.0,12.0,20,850,0.96,11121,0.28,Tier 1
90,2.0,12.0,30,1135,0.91,11831,0.39,Tier 1
91,2.0,12.0,40,1152,0.91,19694,0.65,Tier 1
92,2.0,15.0,15,899,0.95,11981,0.43,Tier 1
93,2.0,15.0,20,809,0.96,12404,0.29,Tier 1
94,2.0,15.0,30,967,0.94,11581,0.3,Tier 1
95,2.0,15.0,40,1171,0.91,17678,0.55,Tier 1
96,2.0,17.0,20,819,0.96,10032,0.35,Tier 1
97,2.0,17.0,30,879,0.95,14668,0.16,Tier 1
98,2.0,17.0,40,1009,0.93,17917,0.17,Tier 1
99,2.0,20.0,20,835,0.96,11310,0.71,Tier 1
100,2.0,20.0,30,797,0.96,13496,0.08,Tier 1
101,2.0,20.0,40,856,0.95,13163,0.33,Tier 1
102,2.5,3.0,10,4065,0.7,8453,0.86,Tier 1
103,2.5,3.0,15,3564,0.73,11232,0.53,Tier 1
104,2.5,3.0,20,3702,0.72,12881,0.28,Tier 1
105,2.5,3.0,30,3950,0.71,7431,0.65,Tier 1
106,2.5,3.0,40,4941,0.56,18195,0.23,Tier 1
107,2.5,5.0,10,1687,0.95,11155,0.46,Tier 1
108,2.5,5.0,15,3578,0.73,11709,0.54,Tier 1
109,2.5,5.0,20,3563,0.72,12902,0.34,Tier 1
110,2.5,5.0,30,3905,0.72,12508,0.12,Tier 1
111,2.5,5.0,40,3830,0.73,20460,0.43,Tier 1
112,2.5,7.0,10,1462,0.96,11793,0.35,Tier 1
113,2.5,7.0,15,1409,0.96,11209,0.39,Tier 1
114,2.5,7.0,20,2454,0.88,11401,0.2,Tier 1
115,2.5,7.0,30,3415,0.77,20868,0.32,Tier 1
116,2.5,7.0,40,3796,0.74,10936,0.32,Tier 1
117,2.5,10.0,10,1443,0.96,10960,0.39,Tier 1
118,2.5,10.0,15,1346,0.96,11565,0.35,Tier 1
119,2.5,10.0,20,1323,0.97,9407,0.46,Tier 1
120,2.5,10.0,30,1843,0.94,9646,0.48,Tier 1
121,2.5,10.0,40,3646,0.75,21684,0.58,Tier 1
122,2.5,12.0,15,1298,0.97,10539,0.39,Tier 1
123,2.5,12.0,20,1232,0.97,13213,0.23,Tier 1
124,2.5,12.0,30,1350,0.96,19775,0.14,Tier 1
125,2.5,12.0,40,3208,0.82,20914,0.44,Tier 1
126,2.5,15.0,15,1318,0.96,11916,0.38,Tier 1
127,2.5,15.0,20,1200,0.97,11893,0.3,Tier 1
128,2.5,15.0,30,1322,0.97,19197,0.16,Tier 1
129,2.5,15.0,40,1394,0.96,21393,0.2,Tier 1
130,2.5,17.0,20,1207,0.97,9596,0.52,Tier 1
131,2.5,17.0,30,1289,0.97,9260,0.47,Tier 1
132,2.5,17.0,40,1356,0.97,19851,0.09,Tier 1
133,2.5,20.0,20,1247,0.97,8377,0.64,Tier 1
134,2.5,20.0,30,1258,0.97,17698,0.0,Tier 1
135,2.5,20.0,40,1229,0.97,22724,0.23,Tier 1
