,value
02/22/2012 00:00:00,50017248
02/23/2012 00:00:00,57891361
02/24/2012 00:00:00,54896980
02/25/2012 00:00:00,55451495
02/26/2012 00:00:00,55229689
02/27/2012 00:00:00,55895107
02/28/2012 00:00:00,54120659
02/29/2012 00:00:00,55340592
03/01/2012 00:00:00,55451495
03/02/2012 00:00:00,53122532
03/03/2012 00:00:00,51569890
03/04/2012 00:00:00,53344338
03/05/2012 00:00:00,56006010
03/06/2012 00:00:00,55229689
03/07/2012 00:00:00,54675174
03/08/2012 00:00:00,55562398
03/09/2012 00:00:00,54896980
03/10/2012 00:00:00,54786878
03/11/2012 00:00:00,55451495
03/12/2012 00:00:00,55340592
03/13/2012 00:00:00,58667682
03/14/2012 00:00:00,58435253
03/15/2012 00:00:00,59776712
03/16/2012 00:00:00,58311815
03/17/2012 00:00:00,60109421
03/18/2012 00:00:00,58224070
03/19/2012 00:00:00,53677047
03/20/2012 00:00:00,53122532
03/21/2012 00:00:00,55007883
03/22/2012 00:00:00,54453368
03/23/2012 00:00:00,53011629
03/24/2012 00:00:00,53566144
03/25/2012 00:00:00,50349957
03/26/2012 00:00:00,53012655
03/27/2012 00:00:00,53677047
03/28/2012 00:00:00,54675174
03/29/2012 00:00:00,53677047
03/30/2012 00:00:00,54120659
03/31/2012 00:00:00,54342465
04/01/2012 00:00:00,54234394
04/02/2012 00:00:00,55875926
04/03/2012 00:00:00,55340592
04/04/2012 00:00:00,55562398
04/05/2012 00:00:00,55451302
04/06/2012 00:00:00,55336440
04/07/2012 00:00:00,52124405
04/08/2012 00:00:00,52789823
04/09/2012 00:00:00,52678920
04/10/2012 00:00:00,53233435
04/11/2012 00:00:00,54549648
04/12/2012 00:00:00,54675174
04/13/2012 00:00:00,54675174
04/14/2012 00:00:00,55007883
04/15/2012 00:00:00,55340592
04/16/2012 00:00:00,55228435
04/17/2012 00:00:00,55226153
04/18/2012 00:00:00,57191220
04/19/2012 00:00:00,56893234
04/20/2012 00:00:00,56893234
04/21/2012 00:00:00,58114813
04/22/2012 00:00:00,57350745
04/23/2012 00:00:00,55451495
04/24/2012 00:00:00,56338719
04/25/2012 00:00:00,57004137
04/26/2012 00:00:00,54786077
04/27/2012 00:00:00,55914004
04/28/2012 00:00:00,54480607
04/29/2012 00:00:00,54453368
04/30/2012 00:00:00,55451495
05/01/2012 00:00:00,55118786
05/02/2012 00:00:00,56116913
05/03/2012 00:00:00,56560525
05/04/2012 00:00:00,56229862
05/05/2012 00:00:00,55903079
05/06/2012 00:00:00,56338719
05/07/2012 00:00:00,56006010
05/08/2012 00:00:00,55673301
05/09/2012 00:00:00,55673301
05/10/2012 00:00:00,54009756
05/11/2012 00:00:00,54897699
05/12/2012 00:00:00,54453368
05/13/2012 00:00:00,54786077
05/14/2012 00:00:00,54675174
05/15/2012 00:00:00,54899182
05/16/2012 00:00:00,55902045
05/17/2012 00:00:00,55671141
05/18/2012 00:00:00,56227816
05/19/2012 00:00:00,56227816
05/20/2012 00:00:00,55789618
05/21/2012 00:00:00,56338719
05/22/2012 00:00:00,55784204
05/23/2012 00:00:00,56561461
05/24/2012 00:00:00,56782331
05/25/2012 00:00:00,56338719
05/26/2012 00:00:00,56227816
05/27/2012 00:00:00,56227816
05/28/2012 00:00:00,56227816
05/29/2012 00:00:00,56671428
05/30/2012 00:00:00,57002897
05/31/2012 00:00:00,57336846
06/01/2012 00:00:00,57891361
06/02/2012 00:00:00,57426254
06/03/2012 00:00:00,57558652
06/04/2012 00:00:00,57891361
06/05/2012 00:00:00,59554906
06/06/2012 00:00:00,59998518
06/07/2012 00:00:00,61328535
06/08/2012 00:00:00,62216577
06/09/2012 00:00:00,60774839
06/10/2012 00:00:00,60109421
06/11/2012 00:00:00,61218450
06/12/2012 00:00:00,63325607
06/13/2012 00:00:00,64989152
06/14/2012 00:00:00,65432764
06/15/2012 00:00:00,71197784
06/16/2012 00:00:00,71095759
06/17/2012 00:00:00,68648951
06/18/2012 00:00:00,67210782
06/19/2012 00:00:00,71643332
06/20/2012 00:00:00,73639585
06/21/2012 00:00:00,73639585
06/22/2012 00:00:00,73085070
06/23/2012 00:00:00,71532429
06/24/2012 00:00:00,70977914
06/25/2012 00:00:00,69425272
06/26/2012 00:00:00,71088817
06/27/2012 00:00:00,71976041
06/28/2012 00:00:00,72086944
06/29/2012 00:00:00,72308758
06/30/2012 00:00:00,73306876
07/01/2012 00:00:00,72308749
07/02/2012 00:00:00,73306915
07/03/2012 00:00:00,71421526
07/04/2012 00:00:00,71421526
07/05/2012 00:00:00,73195973
07/06/2012 00:00:00,73085070
07/07/2012 00:00:00,75303130
07/08/2012 00:00:00,74637712
07/09/2012 00:00:00,76966675
07/10/2012 00:00:00,78516384
07/11/2012 00:00:00,79184735
07/12/2012 00:00:00,84175369
07/13/2012 00:00:00,84175369
07/14/2012 00:00:00,83731757
07/15/2012 00:00:00,83953563
07/16/2012 00:00:00,92048934
07/17/2012 00:00:00,94821758
07/18/2012 00:00:00,99811915
07/19/2012 00:00:00,97151019
07/20/2012 00:00:00,93602124
07/21/2012 00:00:00,96929213
