,l0,l1,outlier_cutoff,pca_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2
98,40,20,2.0,7.0,2683,0.88,12981,0.77
99,40,20,2.5,3.0,6439,0.67,10993,0.82
100,40,20,2.5,5.0,6365,0.74,10113,0.67
101,40,20,2.5,7.0,6012,0.78,10838,0.6
102,40,20,3.0,3.0,9538,0.79,9280,0.65
103,40,20,3.0,5.0,8991,0.83,10886,0.66
104,40,20,3.0,7.0,9234,0.86,8203,0.82
105,40,20,3.5,3.0,9477,0.79,7880,0.69
106,40,20,3.5,5.0,8844,0.82,10502,0.66
107,40,20,3.5,7.0,8700,0.85,9676,0.73
108,40,40,1.0,3.0,2621,0.85,13527,0.65
109,40,40,1.0,5.0,2589,0.88,15752,0.54
110,40,40,1.0,7.0,2492,0.91,12742,0.58
111,40,40,1.5,3.0,2456,0.89,14018,0.81
112,40,40,1.5,5.0,2377,0.91,12685,0.66
113,40,40,1.5,7.0,2322,0.91,12638,0.65
114,40,40,2.0,3.0,2637,0.86,10079,0.72
115,40,40,2.0,5.0,2683,0.86,8769,0.72
116,40,40,2.0,7.0,2586,0.87,11511,0.68
117,40,40,2.5,3.0,6084,0.7,10083,0.82
118,40,40,2.5,5.0,5791,0.76,8951,0.74
119,40,40,2.5,7.0,5443,0.8,10834,0.58
120,40,40,3.0,3.0,8632,0.79,9726,0.79
121,40,40,3.0,5.0,8457,0.84,10373,0.64
122,40,40,3.0,7.0,8236,0.87,9727,0.68
123,40,40,3.5,3.0,8450,0.81,8826,0.69
124,40,40,3.5,5.0,7889,0.84,9810,0.74
125,40,40,3.5,7.0,7806,0.86,8763,0.75
126,40,60,1.0,3.0,2398,0.86,11714,0.64
127,40,60,1.0,5.0,2365,0.91,14215,0.65
128,40,60,1.0,7.0,2430,0.91,13698,0.54
129,40,60,1.5,3.0,2232,0.9,11385,0.77
130,40,60,1.5,5.0,2155,0.91,11392,0.73
131,40,60,1.5,7.0,2153,0.92,12490,0.7
132,40,60,2.0,3.0,2591,0.85,10654,0.72
133,40,60,2.0,5.0,2557,0.86,11866,0.77
134,40,60,2.0,7.0,2506,0.88,11410,0.7
135,40,60,2.5,3.0,5930,0.72,7430,0.78
136,40,60,2.5,5.0,5629,0.77,9822,0.69
137,40,60,2.5,7.0,5116,0.81,10565,0.59
138,40,60,3.0,3.0,8445,0.81,8847,0.75
139,40,60,3.0,5.0,7956,0.85,8472,0.87
140,40,60,3.0,7.0,7788,0.88,8682,0.75
