,l0,l1,outlier_cutoff,pca_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2
491,40,40,3.5,na,7721,0.85,7236,0.86
492,40,60,1.0,na,2269,0.88,11708,0.82
493,40,60,1.5,na,1964,0.94,8970,0.8
494,40,60,2.0,na,2280,0.9,8932,0.83
495,40,60,2.5,na,5345,0.81,7065,0.84
496,40,60,3.0,na,7434,0.86,7694,0.86
497,40,60,3.5,na,7224,0.85,7047,0.85
498,40,80,1.0,na,1985,0.89,11219,0.83
499,40,80,1.5,na,1840,0.93,10221,0.84
500,40,80,2.0,na,2299,0.89,9593,0.83
501,40,80,2.5,na,5052,0.82,7119,0.84
502,40,80,3.0,na,7179,0.87,7356,0.81
503,40,80,3.5,na,7005,0.85,7682,0.89
504,40,100,1.0,na,1994,0.88,12669,0.84
505,40,100,1.5,na,1792,0.94,8884,0.79
506,40,100,2.0,na,2214,0.89,8283,0.83
507,40,100,2.5,na,4931,0.82,6525,0.83
508,40,100,3.0,na,6883,0.86,7936,0.88
509,40,100,3.5,na,6859,0.86,7126,0.87
510,60,20,1.0,na,2594,0.89,12913,0.82
511,60,20,1.5,na,2270,0.93,9448,0.82
512,60,20,2.0,na,2463,0.9,10014,0.82
513,60,20,2.5,na,5411,0.8,8002,0.83
514,60,20,3.0,na,8311,0.85,8102,0.83
515,60,20,3.5,na,7984,0.84,7160,0.84
516,60,40,1.0,na,2218,0.86,13513,0.82
517,60,40,1.5,na,1982,0.94,10971,0.83
518,60,40,2.0,na,2271,0.9,10584,0.84
519,60,40,2.5,na,5291,0.81,7206,0.84
520,60,40,3.0,na,7387,0.86,7176,0.86
521,60,40,3.5,na,7339,0.86,7269,0.84
522,60,60,1.0,na,1978,0.89,12128,0.84
523,60,60,1.5,na,1845,0.94,9525,0.8
524,60,60,2.0,na,2183,0.9,9773,0.82
525,60,60,2.5,na,5134,0.82,6319,0.84
526,60,60,3.0,na,7145,0.87,6457,0.86
527,60,60,3.5,na,6907,0.86,6973,0.87
528,60,80,1.0,na,2019,0.9,10417,0.81
529,60,80,1.5,na,1720,0.94,9695,0.82
530,60,80,2.0,na,2243,0.89,8136,0.81
531,60,80,2.5,na,4826,0.83,6941,0.85
532,60,80,3.0,na,6845,0.87,6682,0.85
533,60,80,3.5,na,6775,0.86,6626,0.86
534,60,100,1.0,na,1844,0.89,8507,0.82
535,60,100,1.5,na,1624,0.94,7683,0.83
536,60,100,2.0,na,2132,0.9,9855,0.83
537,60,100,2.5,na,4738,0.83,6927,0.85
538,60,100,3.0,na,6562,0.87,7398,0.89
539,60,100,3.5,na,6625,0.87,6836,0.87
540,80,20,1.0,na,2316,0.8,13982,0.8
541,80,20,1.5,na,2145,0.94,10118,0.81
542,80,20,2.0,na,2377,0.9,10364,0.82
543,80,20,2.5,na,5609,0.8,7006,0.81
544,80,20,3.0,na,8014,0.85,7463,0.85
545,80,20,3.5,na,7711,0.85,7374,0.85
546,80,40,1.0,na,2114,0.91,10370,0.82
547,80,40,1.5,na,1926,0.94,8805,0.8
548,80,40,2.0,na,2263,0.9,10754,0.86
549,80,40,2.5,na,4764,0.81,9205,0.87
550,80,40,3.0,na,7093,0.86,6624,0.87
551,80,40,3.5,na,7006,0.85,8329,0.89
552,80,60,1.0,na,1915,0.91,10366,0.82
553,80,60,1.5,na,1685,0.94,9809,0.83
554,80,60,2.0,na,2120,0.91,9875,0.83
555,80,60,2.5,na,4947,0.83,6636,0.86
556,80,60,3.0,na,6775,0.87,7160,0.84
557,80,60,3.5,na,6719,0.87,6877,0.85
558,80,80,1.0,na,1708,0.9,11842,0.83
559,80,80,1.5,na,1625,0.95,9151,0.8
560,80,80,2.0,na,2004,0.91,9633,0.84
561,80,80,2.5,na,4695,0.83,6517,0.85
562,80,80,3.0,na,6533,0.87,7355,0.87
563,80,80,3.5,na,6481,0.87,7908,0.89
564,80,100,1.0,na,1862,0.92,10487,0.82
565,80,100,1.5,na,1556,0.95,10085,0.84
566,80,100,2.0,na,2032,0.9,9302,0.86
567,80,100,2.5,na,4685,0.84,7172,0.85
568,80,100,3.0,na,6432,0.88,7355,0.89
569,80,100,3.5,na,6580,0.88,6350,0.85
570,100,20,1.0,na,2304,0.83,13403,0.83
571,100,20,1.5,na,2033,0.94,7775,0.76
572,100,20,2.0,na,2267,0.9,10117,0.84
573,100,20,2.5,na,5211,0.81,8034,0.82
574,100,20,3.0,na,7416,0.85,8067,0.88
575,100,20,3.5,na,7442,0.85,7262,0.84
576,100,40,1.0,na,2109,0.86,11556,0.82
577,100,40,1.5,na,1802,0.94,8666,0.82
578,100,40,2.0,na,2260,0.89,8925,0.83
579,100,40,2.5,na,4856,0.82,7550,0.87
580,100,40,3.0,na,6806,0.86,7341,0.9
581,100,40,3.5,na,6886,0.86,7169,0.89
582,100,60,1.0,na,1758,0.93,10735,0.84
583,100,60,1.5,na,1660,0.94,8725,0.81
584,100,60,2.0,na,1943,0.91,11543,0.87
585,100,60,2.5,na,4566,0.83,8090,0.85
586,100,60,3.0,na,6757,0.87,6476,0.84
587,100,60,3.5,na,6686,0.87,6289,0.87
588,100,80,1.0,na,1854,0.91,9873,0.81
589,100,80,1.5,na,1578,0.95,9154,0.82
590,100,80,2.0,na,1912,0.91,10736,0.87
591,100,80,2.5,na,4467,0.83,7222,0.88
592,100,80,3.0,na,6508,0.88,6738,0.88
593,100,80,3.5,na,6449,0.87,6783,0.88
594,100,100,1.0,na,1637,0.93,11015,0.8
595,100,100,1.5,na,1489,0.95,8223,0.81
596,100,100,2.0,na,2006,0.9,7848,0.84
597,100,100,2.5,na,4558,0.84,6694,0.87
598,100,100,3.0,na,6490,0.88,5902,0.88
599,100,100,3.5,na,6417,0.88,6102,0.88
